time,empl_manuf,industry_prod,cpi,ib_rate,real_income,unempl_rate,oil_price,ppi,construct,inv_index,real_wage,m2,rts,ex_rate
1993 Mar,174.82,,0.22,,85.9,,23.5459678194,0.1985889456,3200,,101.77,8.6,,
1993 Apr,175.69,,0.27,,85,,23.3952736254,0.2404480186,1200,,110.05,10.7,,
1993 May,174.21,,0.32,,83.3,,23.2445794313,0.2832805585,1300,,115.47,13,,
1993 Jun,173.50,,0.38,,98.3,,22.089257277,0.3280608897,4800,,120.65,15.3,,
1993 Jul,172.56,,0.46,,95.3,,21.0469557682,0.4195667703,1800,,116.38,17.9,,
1993 Aug,171.32,,0.58,,95.1,,20.9841665207,0.5285959112,1500,,107.85,20.5,,
1993 Sep,169.70,,0.72,,93.2,,20.0800013564,0.6395719858,4000,,108.93,21.1,,
1993 Oct,168.55,,0.86,,84.8,,20.7957987781,0.7612561954,2000,,103.39,23.8,,
1993 Nov,167.02,,1.00,,89.9,,18.9372370516,0.8751526704,2000,,99.35,26,,54.3
1993 Dec,165.53,,1.12,,116.9,,17.028443927,0.9686063423,19000,,119.75,31.6,,51.51
1994 Jan,162.07,,1.32,,78.3,6.40,17.8572619942,1.1526413158,500,100,97,32.9,,50.78
1994 Feb,161.07,,1.47,,87.7,6.80,17.2670430676,1.3269905088,500,101.9,94.09,35.3,,51.67
1994 Mar,158.96,,1.58,,96.5,7.10,17.4302951111,1.4625957227,3000,92.3,99.74,38.3,,51.5
1994 Apr,156.74,,1.71,,103.3,7.40,19.0251419981,1.6175724973,1000,106.7,95.75,45,,55.35
1994 May,154.21,,1.83,,95,7.40,20.419063293,1.7241195123,1300,129.2,95.84,50.6,,56.29
1994 Jun,152.66,,1.94,,105.5,7.40,21.0218400692,1.8694105065,4300,134.2,102.55,57.6,,56
1994 Jul,151.11,,2.04,,108.6,7.50,22.139488675,2.0147015008,1600,125.8,103.58,62.4,,54.85
1994 Aug,149.14,,2.13,,115.1,7.70,21.1223028652,2.1309342961,1600,129.6,104.61,68.8,,53.62
1994 Sep,147.40,,2.31,,114.8,7.70,19.9041914633,2.2859110708,3700,123.5,105.66,74.7,,52.94
1994 Oct,146.09,,2.65,,109.1,7.70,20.6325467346,2.5377482223,1700,121.6,96.15,77.9,,47.12
1994 Nov,145.95,,3.04,,103.6,7.80,21.7250796414,2.8573884096,1700,166.4,89.42,81.7,,49.85
1994 Dec,145.42,,3.54,,121.2,7.80,19.9418650119,3.2254592142,18300,229.1,96.57,94.8,,53.43
1995 Jan,144.63,94.311,4.17,822.700,82.4,7.90,20.7832409286,3.9189329581,400,63.7,69.53,90.9,,52.89
1995 Feb,144.97,93.275,4.63,233.000,80.8,8.10,21.5241540493,4.5801519298,600,88.2,66.75,98.7,,50.61
1995 Mar,144.52,99.493,5.04,243.800,88.9,8.00,21.3734598553,5.0736472865,3300,86.1,68.75,104,,47.26
1995 Apr,144.40,91.202,5.47,175.000,89.7,8.20,23.5334099699,5.8251791059,1200,88.8,67.38,119.4,,46.78
1995 May,143.73,92.239,5.90,87.500,90.6,8.30,23.0059802908,6.3412520312,1500,104.4,69.4,133.9,,49.84
1995 Jun,143.39,94.311,6.29,93.400,94.3,8.40,21.7878688889,6.7250818484,5000,115.4,72.87,151.7,,56.99
1995 Jul,142.87,92.239,6.63,209.000,91.4,8.50,19.9167493128,7.1766460869,1800,111.5,72.14,159.9,,61.7
1995 Aug,142.11,96.384,6.94,182.500,91.4,8.80,20.1804641524,7.6604650977,1800,115.5,71.85,168.4,,67.13
1995 Sep,141.26,95.348,7.24,91.400,92.4,8.90,20.9213772731,8.0959023789,3800,117.1,74.73,174.1,96.77,68.69
1995 Oct,140.31,98.457,7.59,39.600,86.8,9.20,20.2432533999,8.4668301157,1800,120.4,75.47,178.5,77.28,70.07
1995 Nov,139.56,94.311,7.93,38.700,87.7,9.10,21.1976499622,8.7087396211,1800,151.1,74.79,189.1,71.66,71.8
1995 Dec,138.43,95.348,8.18,68.600,97.3,9.00,22.5538977086,8.8700126247,18000,255.5,86.76,213.9,78.99,72.68
1996 Jan,135.43,96.384,8.52,36.500,81.8,9.10,22.5287820096,9.1555675488,400,83.5,73.75,210,84.58,73.85
1996 Feb,134.74,96.384,8.76,34.000,85,9.30,22.5664555581,9.4066839308,600,86.5,75.22,222.1,77.23,74.33
1996 Mar,135.00,102.810,9.01,97.000,88.4,9.20,25.1031411579,9.6510133836,3400,91.7,79.74,234.3,71.18,74.86
1996 Apr,136.12,98.768,9.20,44.000,90.2,9.50,26.3840418072,9.8817689778,1300,86.9,78.14,243.2,90.71,75.7
1996 May,131.92,93.793,9.35,35.600,83.9,9.60,24.0482817996,9.9835729165,1500,88.4,80.48,246.3,120.33,75.61
1996 Jun,131.44,93.275,9.46,89.300,90.6,9.60,22.9431910432,10.1532461475,4900,102,85.39,258.6,169.79,75.59
1996 Jul,130.57,93.275,9.53,56.300,89.7,9.70,24.6259428767,10.2754108739,1700,103.3,85.39,263.5,170.97,74.17
1996 Aug,129.63,95.348,9.50,37.000,90.6,9.70,25.0654676094,10.4858056804,1400,109.2,84.54,266.7,176.78,71.46
1996 Sep,128.16,95.348,9.53,47.100,87.9,9.80,27.7026160051,10.66905277,2500,117.7,86.23,267.4,171.95,70.87
1996 Oct,126.85,103.639,9.65,34.200,96.6,9.80,29.7369876247,10.9608907275,1300,109.2,84.51,270.1,177.3,71
1996 Nov,125.64,99.493,9.83,30.600,93.7,9.90,27.9788886942,11.0559077369,1600,118.1,81.97,273.5,188.14,71.15
1996 Dec,124.60,101.566,9.97,30.200,115.3,10.00,29.5360620327,11.144137817,13700,181.5,98.37,288.3,188.57,71.8
1997 Jan,123.05,99.493,10.20,21.100,89.5,10.10,29.4732727852,11.2663025434,400,68.2,76.73,289.9,257.24,74.04
1997 Feb,122.57,100.530,10.36,25.800,89.7,10.30,26.1580005162,11.4495496329,600,72.7,76.73,299.5,314.55,76.6
1997 Mar,121.95,105.712,10.51,32.400,92.2,10.50,24.1236288966,11.5988620763,3000,82.4,82.86,305.8,316.29,77.85
1997 Apr,121.17,101.566,10.61,28.200,99.5,10.70,21.9385630829,11.6938790857,1100,80.4,82.03,317.8,295.87,78.28
1997 May,120.51,97.421,10.71,14.800,91.7,10.90,24.0357239501,11.7481745196,1200,81.6,83.02,328.4,353.31,78.19
1997 Jun,119.85,98.457,10.82,16.100,100.7,10.90,22.039025879,11.843191529,3900,99.1,88.66,352,382.76,78.74
1997 Jul,119.43,100.530,10.93,14.300,96.5,10.90,23.1441166353,11.870339246,1500,101.2,88.4,363,485.47,80.14
1997 Aug,118.78,101.566,10.91,16.200,94.4,10.90,23.4706207224,11.92463468,1400,107.5,86.98,364.6,531.25,80.99
1997 Sep,117.75,102.602,10.88,15.600,92.6,11.00,23.1692323343,11.9449954677,3200,119,91.16,363,491.42,78.98
1997 Oct,117.04,107.784,10.90,18.200,94.7,11.10,25.1784882549,11.9517823969,1500,109.6,89.15,368.8,515.7,77.86
1997 Nov,117.04,105.712,10.96,20.500,93,11.20,23.859914057,11.9789301139,1900,117.6,87.91,357.4,374.86,78.14
1997 Dec,116.58,107.784,11.07,28.400,122,11.20,21.4739226513,11.9721431847,13000,188.2,106.01,374.1,368.37,80.11
1998 Jan,118.46,96.384,11.24,24.100,79.8,11.40,18.9497949011,12.0739471233,500,65.3,83.01,361.2,328.35,81.23
1998 Feb,118.37,97.421,11.34,30.300,82.8,11.60,17.6563364022,12.1418164157,600,69.6,82.51,362.9,303.94,81.39
1998 Mar,118.32,102.602,11.41,25.900,84.2,11.70,16.4256671508,12.1350294865,3100,76.3,88.29,360.4,337.91,81.3
1998 Apr,117.27,98.457,11.45,29.500,90.5,11.70,16.8149604854,12.1350294865,800,74.5,86.52,368,314.04,80.67
1998 May,116.39,91.202,11.51,47.600,82,11.50,18.0707454358,12.0332255478,1200,77.6,86.26,370,248.78,80.09
1998 Jun,115.77,92.239,11.52,56.100,83.9,11.30,15.1447665014,12.0332255478,3400,93,92.21,368.6,180.33,80.32
1998 Jul,114.97,87.057,11.54,58.800,85.7,11.30,15.1196508024,11.9314216092,1200,96.1,90.74,359.4,158.72,80.32
